index,company,category,training/test,description 
37,エヌ・ティ・ティ・システム開発株式会社,IT,training,発注 管理 売上 管理 システム 開発 構築 行う 在庫 管理 経営 管理 Web システム 取り扱う いる 通 
38,ピットクルー株式会社,IT,training,ネット ビジネス 広告 審査 支援 ネット 調査 投稿 監視 サービス 行う いる 製品 サービス カスタマーサポート 
39,アイテック阪急阪神株式会社,IT,training,社会 システム 関連 する システム 開発 販売 主 行く おる 鉄道 運行 管理 システム ビル マネジメント システム 電子 カルテ 製品 取り扱う いる 
40,ＮＣＳ＆Ａ株式会社,IT,training,確定 申告 受付 支援 システム 住民 情報 システム 電子 カルテ システム 販売 管理 システム 医療 金融 業 製造 業 サービス 業 向け IT ソリューション 開発 販売 行う コンピュータ 機器 保守 行う ハード ウエア 保守 サービス 企業 コンピュータシス 
41,ＪＢＣＣ株式会社,IT,training,企業 情報 システム 設計 構築 運用 保守 手掛ける 他 俺 クラ ウド 総称 する れる クラ ウド 環境 提供 行う 
42,デジタル・インフォメーション・テクノロジー株式会社,IT,training,2015 年 JASDAQ 2016 年 東証 2 部 上場 果たす DIT 事業 ビジネスソリューション 事業 組 込 ソフトウェア 開発 ２つ ビジネスソリューション 事業 金融 系 企業 中心 通信 流通 運輸 分野 向け 営業 事務 EC サイト 社内 システム 幅広い 業務 用途 システム クライアント 合わせる 開発 構築 保守 運用 行う 組 込 ソフトウェア 開発 
43,ＥＭＣジャパン株式会社,IT,training,情報 保存 管理 保護 行う Dell EMC ディスク アレイ 装置 ストレージ 管理 ソフトウェア 販売 保守 手掛ける いる 
44,サイバーコム株式会社,IT,training,無線 通信 システム はじめ する 通信 ソフトウェア 公共 交通 機関 運賃 精算 システム 制御 ソフトウェア 電子 カルテ システム 業務 ソフトウェア 開発 行う ソフトウェア 開発 事業 手掛ける ネットワーク 設計 構築 導入 ク 
45,株式会社ソルコム,IT,training,光ファイバー ケーブル 地中 埋め込む 等 電気 通信 工事 設計 施工 保守 行う 企業 ビル 内 電気 通信 機器 情報処理 
46,株式会社システムリサーチ,IT,training,子会社 株式会社 ソエル クレジット 決済 電子 マネー 決済 可能 POS 管理 システム 高度 FA 制御 技術 開発 用 総合 開発 環境 専門 的 分野 含める システム 開発 構築 サービス 提供 手掛ける 常駐 型 中心 する ソフトウェア 開発 請負 派遣 行う 販売 管理 給与 計算 ソフトウェア プロダクト 作成 販売 保守 ハード 
47,株式会社ＮＴＴデータＭＨＩシステムズ,IT,training,三菱重工 グループ グループ 会社 グループ 向け 業務 系 アプリケーション 企画 開発 運用 行う 製品 情報 管理 システム 経営 資源 管理 シス 
48,日本事務器株式会社,IT,training,医療 機関 自治体 製造 業 流通 業 システム 開発 請け負う ハードウェア OS DBMS プラットフォーム ソフト ネット 
49,株式会社ＣＩＪ,IT,training,システム 開発 販売 運用 保守 行う 主 OS データベース アプリケーション サーバ 運用 管理 ソフト Web システム 取り扱う おる 金融 機関 向け 信販 クレジット 業務 システム 製紙 会社 基幹 業務 システム CASET COBOL 等 製造 業 向け システム 手掛ける 社会 福祉 協議 会 向け 総合 システム SWING 自治体 向 
50,株式会社ＤＮＰデジタルソリューションズ,IT,training,情報 システム 運用 コンサルティング 事業 手掛ける Web サイト 企画 制作 運営 
51,株式会社クエスト,IT,training,情報 システム コンサルティング 業務 システム 開発 保守 IT インフラ 構築 運用 管理 情報 サービス 一貫 する 業務 手掛ける IT コンサルティング 業務 IT 戦略 立案 運用 IT 投資 効率 最大 化 する せる IT Value - Up サービス 行う 加える アプリケ 
52,東芝ＩＴコントロールシステム株式会社,IT,training,バーチャルパワープラント 広域 分散 蓄電 システム 構築 する ため リチウム イオン 蓄電 システム 製造 する いる スキャンモード 
53,株式会社ＪＩＥＣ,IT,training,ダイレクトバンキングシステム 損害 サービス システム 金融 保険 分野 システム 開発 導入 手掛ける 旅行 運輸 分野 座席 予約 シ 
54,エリクソン・ジャパン株式会社,IT,training,主 電気 通信 機器 周辺 機器 研究 開発 標準 化 活動 行う 通信 機器 設計 製造 販売 設置 
55,サンワコムシスエンジニアリング株式会社,IT,training,電話 通信 回線 敷設 交換 設備 無線 中継 基地 局 建設 通信 インフラ 基盤 整備 業務 行う ネットワーク システム インテグレーション サービス 提 
56,ソレキア株式会社,IT,training,ASIC 開発 半導体 製品 コンポーネント デバイス ネットワーク ストレージ 機器 販売 手掛ける 官公庁 地方自治体 農協 生 協 金融 医療 業種 業態 対応 する ERP BCP 環境 省エネ 分野 ソリューション 提供 行う クラウドコンピューティング スマート フォン タ 
57,富士通九州ネットワークテクノロジーズ株式会社,IT,training,｢ Next Stream Topology Visualizer ｣ ｢ QmOS ｣ ハードウェア ソフトウ 
58,株式会社インフォメーションクリエーティブ,IT,training,ソフトウェア 開発 オペレーション 作業 運用 管理 ネットワーク 構築 行う チケット 管理 システム チケット for Windows チケット for LINE Hybrid チケット Web 販売 シス 
59,株式会社日本プレースメントセンター,IT,training,IT 分野 アウトソーシングサービス 事業 行う おる システム 開発 運用 保守 請け負う その他 ネットワーク 設計 導 
60,株式会社ＮＨＫテクノロジーズ,IT,training,放送 ネットワーク 企画 コンサルティング 調査 システム 設計 施工 管理 運用 保守 行う 放送 受信 環境 整備 情報 通信 ネット 
61,株式会社共栄システムズ,IT,training,業務 用 統合 システム クレジット システム 開発 手掛ける クラ ウド 環境 サーバー 構築 
62,株式会社ツリーベル,IT,training,製造 業 向け 統合 管理 システム 医療 システム 制御 システム 金融 機関 向け システム 設計 開発 等 行う いる 
63,大興電子通信株式会社,IT,training,主 富士通 株式会社 情報 通信 機器 販売 設計 施工 保守 行う OA 機器 電子 計算 機 電子 通信 設備 取り扱う 電子 計算 機 販売 仲介 手掛ける システム 開発 行う おる 子会社 株式会社 大和 ソフトウェア リサーチ システム 開発 運用 管理 一部 株式会社 アイデス システム 開発 アウトソーシング 事業 一部 委託 する 提供 する システム 生産 管理 システム 流通 業 向け ソリューション・ ERP ある 
64,進々堂商光株式会社,IT,training,複合 機 FAX 等 OA 機器 販売 保守 サービス 提供 する いる インターネット 関連 機器 パソコン 周辺 機器 オ 
65,ＡＧＳ株式会社,IT,training,大型 汎用 機 中心 する 受託 計算 サービス IDC サービス クラウドサービス BPO サービス 提供 する いる 子会社 AGS ビジネス コンピューター 株式会社 AGS プロ サービス 株式会社 同様 事業 展開 する いる 金融 機関 公共 団体 一般 法人 情報 戦略 策定 支援 システム コンサルティング アプリケーション ソフト 受託 開発 
66,ＧＭＯインターネット株式会社,IT,training,インターネット インフラ ネット 証券 広告 様々 インターネット 事業 展開 する IT 企業 ダイヤル Q 2 プロバイダ 出発 する 近年 ネット インフラ 広告 ゲーム 証券 インターネット 事業 幅広い 手掛ける いる ネット インフラ 事業 多く サービス 日本 国内 1 位 なる いる 2005 年 ごろ 証券 銀行 事業 参入 する する ところ 巨額 赤字 計上 する しまう 08 年 撤退 する インターネット 事業 注力 する こと 再建 進める 1 
67,株式会社ＰＵＣ,IT,training,水道 料金 徴収 業務 事務 処理 代行 コール センター 運営 請け負う その他 情報 システム サービス 開発 ネットワーク 運用 管理 サービス 構 
68,富士通関西中部ネットテック株式会社,IT,training,キャリア 官公庁 企業 携帯 端末 LTE 端末 向ける ソフトウェア ハードウェア 開発 行う 会社 官公庁 企業 
69,北陸電話工事株式会社,IT,training,通信 ケーブル FTTH 化 工事 通信 回線 関連 施工 行う ビル 内 電柱 間 施工 以外 通信 電力 配線 等 地中 化 工事 
70,ＣＬＩＮＫＳ株式会社,IT,training,スマホ 向け アプリ 開発 支援 IT インフラ 構築 ソリューションサービス 提供 する Web サイト 制作 
71,株式会社エヌ・ティ・ティ・データＣＣＳ,IT,training,JXTG エネルギー 株式会社 JX 金属 株式会社 業務 用 システム 開発 保守 運用 取り組む 一般 企業 向け IT インフラ 導入 支援 構築 スマホアプリ 開発 地理 情報 
72,ＯＫＩクロステック株式会社,IT,training,IOT 技術 電気 設備 情報処理 ソフトウェア 製造 販売 行う LED 照明 設備 転換 工事 クラ ウド 型 電話 システム 利用 する 音声 ネットワークイ 
73,株式会社アベールジャパン,IT,training,一般 ビジネス アプリケーション 制御 系 ソフトウェア 設計 開発 ネットワーク 構築 行う いる 空調 シス 
74,株式会社日興商会,IT,training,事務 用品 生活 用品 家具 オフィス 特 化 する 製品 販売 する いる ソフトウェア 提案 ネットワーク 構築 保守 各種 IT ソリューション 対応 
75,バリストライドグループ株式会社,IT,training,Web アプリ 開発 インフラ ネットワーク 構築 IT ソリューション 事業 IT コンサルティング 事業 手掛ける We 
76,株式会社ピーエスシー,IT,training,Web サイト モバイル サイト 構築 運用 行う 情報 管理 システム 開発 SEO 対策 パブリッククラウド 構築 対応 その他 ネット 
77,アルテリア・ネットワークス株式会社,IT,training,中小 企業 向け 光 インターネット 接続 サービス UCOM 光 エンタープライズ ARTERIA 光 インターネット 接続 サービス 法人 向け IP 電話 サービス 光 電話 ビジネス 提供 する ダイナイーサ はじめ する 2 地点 間 結ぶ 専用 回線 サービス 仮想 通信 トンネル 構成 する VPN 接続 サービス 手掛ける 加える データ センター サービス 無線 LAN 環境 構築 運 
78,日興システムソリューションズ株式会社,IT,training,証券 会社 向け システム オンライントレーディングシステム 基幹 業務 システム 連携 基盤 開発 する 投信 口座 管理 シス 
79,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,IT,training,IoT クラ ウド 基盤 データ センター 運用 IT サービス 行う いる ネットワーク セキュリティ 構築 モバ 
80,三菱ケミカルシステム株式会社,IT,training,主 グループ 内 企業 IT コンサルティング システム 開発 運用 改善 トータル IT サービス 提供 する 
81,中央コンピューター株式会社,IT,training,幅広い 企業 情報 システム コーディネート 開発 管理 保守 主 行う システム 企画 分析 設計 プログラミング テスト アプリケーション 開発 システム 運用 メンテナンス 一環 する 行う 先 見据える 業務 システム 設計 構築 提案 する 
82,日本自動化開発株式会社,IT,training,金融 保険 業界 中心 信販 通信 物流 業界 システム 受託 業務 行う 特徴 担当 社員 クライアント 企業 常駐 する せる 設計 
83,シネックスジャパン株式会社,IT,training,IT 流通 ネットワーク 駆使 する サービス ビジネス 支援 する 専門 商社 様々 ハードウェア ソフトウェア 商品 
84,ベース株式会社,IT,training,金融 流通 物流 業界 中心 する システム インフラ 開発 手掛ける 会社 ERP 
85,株式会社システムエグゼ,IT,training,保険 会社 会計 事務所 製造 業 生産 管理 医療 関連 する システム 開発 行う IT インフラ 構築 デー 
86,株式会社ＣＩＪネクスト,IT,training,官公庁 向け 公共 系 システム 金融 系 システム 地理 宇宙 関連 システム 開発 行う いる 交通 信号 制御 機 車両 感知 器 
87,日本コンピュータ・ダイナミクス株式会社,IT,training,主 IT 事業 パーキング 事業 2 行う おる IT 事業 iOS Android アプリ 開発 コード 自動 生成 する ツール アプリケーション 提供 等 行う システム 構築 ソリューション 提案 手掛ける IBM クラ ウド 導入 支援 マネージドサービスセンター 運営 行う IT インフラ 運 
88,株式会社キューブシステム,IT,training,金融 業 通信 業 官公庁 向け システム ユーザーインターフェイス 設計 環境 設計 基本 設計 プログラミング・システムテスト 行う 業務 アプリケーション 管理 システム 運用 管理 オフショアエンハンス 取り組む システム 移行 
89,株式会社SYSKEN,IT,training,電話 サービス 光 ブロード バンド モバイル ネットワーク 等 設備 構築 行う 通信 設備 通信 ケーブルネットワーク 設備 工事 ほか 
90,ニッコーテクノ株式会社,IT,training,原子力 発電 施設 配管 設計 試運転 保守 エンジニアリング 手掛ける いる その他 官公庁 民間 企業 ソフトウェア 開発 
91,富士フイルムソフトウエア株式会社,IT,training,主 富士フイルム グループ 製品 サービス ソフトウエア 開発 行なう いる 会社 IT インフラ サービス 手掛ける ほか フォト プリント 
92,インターネットウェア株式会社,IT,training,銀行 営業 店 端末 ATM 生産 計画 システム 在庫 管理 システム 窓口 ナビゲーションシステム 大学 用 シラバスシステム 等 開発 手掛ける 電気 通信 設備 工事 サー 
93,株式会社ディックソリューションエンジニアリング,IT,training,官公庁 一般 企業 ネットワーク システム 構築 導入 支援 メンテナンス 手掛ける いる 工場 モータ 
94,株式会社ニーズウェル,IT,training,業務 系 システム 開発 基盤 構築 組 込 系 開発 手掛ける いる 業務 系 システム 開発 保険 会社 向け 契約 管理 顧客 管理 行う システム 銀行 向け 勘定 系 システム 等 開発 販売 する ほか ホテル 向け フロント システム 不動産 会社 向け 物件 情報 システム 等 提供 する 基盤 構築 IT システム 基盤 なる サーバ 等 ハードウェア 環境 設計 
95,コムシス情報システム株式会社,IT,training,通信 事業 者 金融 官公庁 情報 管理 システム 受託 開発 運用 行う サーバー ネットワーク 構築 セキュ 
96,日本ＳＥ株式会社,IT,training,製造 業 小売 卸売 業 サービス 業 産業 分野 システム 構築 設計 開発 運用 保守 行く いる 会社 中央 省庁 
97,株式会社アルファネット,IT,training,IT インフラ 基盤 構築 サイバーセキュリティ 対策 通信 ネットワーク 構築 ネットワーク 上 物理 的 工事 等 ト 
98,株式会社アルファネット,IT,training,サーバー 構築 デスク トップ 仮想 化 導入 IT インフラ 基盤 構築 手掛ける サイバーセキュリティ 対策 監視 カメラ 導入 物理 セキュリティ 対策 セキュリティ 事業 
99,アドソル日進株式会社,IT,training,社会 インフラ 事業 エネルギー 分野 交通 運輸 分野 社会 インフラ システム インテグレーション サービス 提供 する いる 主 サービス 地理 情報 システム システム 監視 ソリューション 総合 防災 情報 システム 構築 ソリューション 電力 発電 プラント 監視 制御 システムソリューション エネルギーモニタリングシステム 取り扱う I 
100,株式会社サイプレス・ソリューションズ,IT,training,受注 管理 等 システム 開発 ネットワーク 設計 インフラ 構築 運用 等 顧客 サポート 業務 手掛ける OA 機器 操作 業務 各種 事務 通訳 等 企 
101,株式会社エスアイイー,IT,training,ネットワーク 講座 プログラミング 講座 展開 する IT スクール システムアーキテクチュアナレッジ 運営 手掛ける いる 
102,フィット産業株式会社,IT,training,コンサルティング 通す 顧客 企業 システム IT インフラ 設計 導入 サポート する 事務 系 アプリケーション ソフト 流通 シス 
103,ＤＩＲインフォメーションシステムズ株式会社,IT,training,大和証券 グループ 一 社 大和証券 グループ 会社 はじめ 金融 機関 通信 会社 システム 受託 開発 企画 提案 設計 一貫 する 実施 する いる 
104,株式会社ＫＹＯＳＯ,IT,training,IT 関連 コンサルティング アプリケーション 開発 運用 インフラ 構築 保守 行う 主 IT 
105,旭陽電気株式会社,IT,training,エッチング 装置 葉 成 膜 装置 ウェハープローバ 装置 ダイボンダ 装置 製造 実績 ある 水道 料金 公営 企業 
106,チームラボ株式会社,IT,training,Web サイト システム 設計 インフラ 構築 企業 ブランディング 手掛ける アプリ 開発 
107,Ｃｏｌｔテクノロジーサービス株式会社,IT,training,クラ ウド 介す ネットワーク Colt IQ Network 中心 する ICT インフラ サービス 企業 向け 提供 する いる 主 データ 
108,日立水戸エンジニアリング株式会社,IT,training,日立 グループ 一員 エレベーター エスカレーター 企画 設計 行う 電子 連動 装置 運転 保安 システム インバー 
109,株式会社信興テクノミスト,IT,training,システム 構築 開発 運用 行う 自社 開発 ソフトウェア 販売 セキュリティ サービス コンシューマ 向け アプリ 開発 手掛ける 人 フォークリフ 
110,テクノブレイブ株式会社,IT,training,システム 設計 サーバー インフラ 基盤 全体 設計 構築 行う いる IT サービス マネジメント エン 
111,三谷産業株式会社,IT,training,無機 化学 品 有機 化学 品 機能 性 素材 医 農薬 中間 体 医薬品 薬 等 製造 販売 する 空調 設備 給排水 衛生 設備 消防 防災 設備 設計 施工 手掛ける 加える オリジナルグループウェア POWER EGG よう 業務 効率 化 システム 開発 販売 手掛ける いる その他 プラスチック 成形 品 エ 
112,株式会社ＮＴＴデータ・エマーズ,IT,training,システム 構築 開発 手掛ける おる 業務 分析 導入 支援 管理 保守 行う 主 金融 機関 流通 業 サービス 業 製造 業 官公庁 向け シ ステ 
113,さくらインターネット株式会社,IT,training,通信 機器 類 自由 設置 できる スペース インターネット 接続 必要 回線 電源 貸与 行う ハウジング サービス 提供 する ホスティングサービス 物理 サーバ さくら 専用 サーバ 専用 利用 する サービス 提供 行う 他 レンタルサーバサービス サーバ レンタル 関連 する メンテナンス 業務 代行 する サービス 
114,アイ・イー・シー株式会社,IT,training,システム 設計 ソフトウェア 開発 主 業務 する おる ETC 監視 システム 血液 自動 分析 装置 ソフト 開発 行う いる 発 変電 設備 保護 装置 
115,アイシン・インフォテックス株式会社,IT,training,アイシング ループ IT 業務 担う おる 会社 工場 システム 共有 化 セキュリティ 対策 手掛ける 原材料 部品 調達 
116,株式会社メガ,IT,training,不動産 物件 仲介 オフィス レイアウト 店舗 構築 サポート 並び インターネット サービス 等 システム 構築 運用 サポート 手掛ける オフィス 用品 パ 
117,株式会社エヌ・ティ・ティ・データ・エンジニアリングシステムズ,IT,training,製造 業 中心 する 顧客 SI 提案 システム 構築 行う いる その他 3 次元 CAD CAM CAE 製造 業 システム 
118,コベルコソフトサービス株式会社,IT,training,コベルコシステム 株式会社 グループ 会社 Web CAD システム 開発 運用 手掛ける いる コンピュータ 
119,株式会社フューチャーイン,IT,training,民間 企業 自治体 学校 様々 業種 向け システム 開発 手掛ける 勤怠 管理 会計 システム 開発 する いる 顧客 ニーズ 合わせる シス 
120,三和コンピュータ株式会社,IT,training,ゴルフ 場 予約 清算 顧客 管理 等 行う Approach ほか ホテル 基幹 システム NEHOPS 等 業務 改善 システム 開発 販売 手掛ける 企業 年金 
121,パシフィックシステム株式会社,IT,training,製造 業 流通 業 金融 業 向け 検査 装置 システム 開発 手掛ける 主 製品 周囲 外観 検査 センサー 有機 EL 照明 検査 装置 検査 装置 営業 支援 システム Selica クラ ウド 顧客 管理 システム SELICA for Notes 挙げる られる データ 連携 ミドル ウェア ASTERIA wa 
122,ＮＳＳＬＣサービス株式会社,IT,training,IT アウトソーシングサービス ｢ NSFITOS ｣ クラ ウド サービス IT エンジニアリング 等 提供 行う IT インフラ 
123,テックスエンジソリューションズ株式会社,IT,training,製造 業 はじめ 金融 医療 幅広い 分野 対応 する いる システムインテグレーター システム 導入 コンサルティング システム 
124,株式会社インフォセンス,IT,training,物流 システム 新設 構築 計画 事前 検証 行う RaLC 発見 型 BI ツール QlikView 等 業務 分析 BI サービス 導入 行う いる 他 人事 給 
125,ケー・イー・エルテクニカルサービス株式会社,IT,training,サーバー ストレージ ネットワーク 設計 構築 導入 後 保守 手掛ける 
126,株式会社ＮＥＸＣＯシステムズ,IT,training,NEXCO グループ 高速 道路 交通 量 料金 関係 計数 管理 システム 開発 運用 手掛ける NEXCO グループ 情報 システム 基 
127,富士通エフサス・カスタマサービス株式会社,IT,training,システム 設計 構築 導入 メンテナンス 等 運用 サービス 提供 行う オープン システム ATM CD 等 金融 機関 向け システム 加 
