index,company,category,training/test,description 
10,株式会社ＤＴＳ,IT,training,情報 システム の 開発 ・ 導入 支援 ・ 運用 ・ 保守 など を 手がける 。 主 に 、 銀行 や 証券 会社 など の 金融 分野 や 、 年金 や 自治体 など の 公共 分野 の 顧客 に対して 勘定 系 システム や 年金 システム など を 提供 する 。 また 、 通信 業 や 製造 業 、 小売 業 など の 法人 に 向け て 、 ERP システム や ビッグ データ 解析 システム など の 開発 および パッケージ システム の 販売 を 
11,株式会社ＮＳＤ,IT,training,金融 業 や 保険 業 向け の システム 、 報道 システム 、 通信 システム の 開発 を 行う 。 また 、 製品 受給 および 生産 管理 、 受発注 の 管理 など 商業 や 製造 業 向け の システム の 開発 も 手がける 。 さらに 、 貨物 輸送 状況 照会 システム や 公営 競技 向け トータリゼータシステム 、 大学 および 地方自治体 向け の システム の 開発 に も 取り組む 。 加え て 、 プラ 
12,日鉄ソリューションズ株式会社,IT,training,ビジネス の 問題 解決 や 新 ビジネス モデル 支援 および 、 経営 や 情報 技術 視点 の 顧客 情報 システム に関する コンサルティング を 手掛け て いる 。 また 、 システム の 企画 や 提案 の 他 、 設計 や 構築 、 運用 サービス の 提供 を 行う 業務 ソリューション 事業 を 手掛ける 。 その他 、 プラットフォーム 構築 技術 や 運用 ノウハウ を 組み合わせ た IT イ 
13,株式会社アルファシステムズ,IT,training,固定 網 ・ モバイル 網 の 交換 ノード 、 伝送 装置 を 始め と する ノード に 加え て 、 無線 基地 局 ・ 携帯 端末 に 使用 さ れる ソフトウェア 、 通信 ネットワーク の 管理 システム など の 通信 システム 開発 を 手掛ける 。 その他 、 官公庁 など の 公共 団体 に 社会 インフラ 関連 システム を 、 流通 ・ サービス 業界 に インターネット ビジネス 関 
14,日本電気通信システム株式会社,IT,training,通信 事業 者 向け の ネットワーク システム の 設計 や 構築 を 手掛ける 。 また 、 ソフトウェア ・ アプリケーション の 開発 も 行う 他 、 ネットワーク プロダクト に関する 製品 の 企画 および 
15,ネットワンシステムズ株式会社,IT,training,民間 企業 や 通信 事業 会社 および 省庁 ・ 自治体 向け に ICT システム の 構築 を 手掛ける 。 システム 構築 に 関連 し た セキュリティ や IT インフラ 、 ワーク スタイル 等 について 問題 解決 の ため の 企画 ・ 開発 ・ コンサルティング を 行う ほか 、 システム の 運用 や 保守 ・ 最適 化 に も 対応 する 。 また 、 製品 ベンダー と の 協業 や 技術 
16,ＴＩＳソリューションリンク株式会社,IT,training,エンジニア を 顧客 の 企業 に 常駐 さ せ 、 システム 開発 や 運用 など の 技術 や 体制 を 提供 する オンサイト プロフェッショナル サービス 
17,三機工業株式会社,IT,training,建築 設備 事業 として 、 大 空間 向け 空調 システム 「 ペリループ 」 を はじめ と する ビル 空調 衛生 事業 、 ビルディング ・ オートメーション 技術 「 San BACS 」 や Web ビル 情報 配信 サービス 「 S - BIWOS 」 など を 用い た スマート ビル 事業 を 手掛ける 。 また プラント 設備 事業 として 、 クリーン ルーム 内 搬送 技術 や 空港 手荷物 搬 
18,株式会社日立システムズエンジニアリングサービス,IT,training,エンジニア を 派遣 し サーバー や メイン フレーム など の オンサイト 運用 代行 サービス を 手掛け て いる 。 また 、 金融 機関 や 保険 業界 および 
19,三菱ＵＦＪインフォメーションテクノロジー株式会社,IT,training,三菱 UFJ フィナンシャル・グループ 内 の システム の 設計 ・ 開発 を 行う 会社 。 三菱 東京 UFJ 銀行 の 勘定 系 システム や グループ 各社 
20,ＣＴＣシステムマネジメント株式会社,IT,training,IT システム の 開発 と 運用 サービス など を 行っ て いる 。 サービス の 対象 と なる 企業 や 事業 は 通信 事業 者 や 金融 など 大 規模 で 公共 性 が 高い もの 
21,日本システムウエア株式会社,IT,training,IT ソリューション 事業 と プロダクトソリューション 事業 の 2 つ を 主 な 事業 領域 と する 。 IT ソリューション 事業 で は 製造 業 や 金融 業 、 官公庁 向け に コンサルティング 、 システム の 開発 から 保守 ・ 運用 まで 一貫 し て 請け負っ て いる 。 具体 的 に は 製造 業 向け の 生産 スケジューラ 「 Asprova 
22,株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ,IT,training,ベトナム の ハノイ 工科 大学 と 協力 関係 に あり 、 ベトナム で の ソフトウェア の オフショア 開発 に 強み を 持つ 。 また 、 スタート アップ へ の 投資 や アクセラレータプログラ 
23,株式会社日立ＩＣＴビジネスサービス,IT,training,日立 グループ 傘下 の 会社 で 、 事務 や IT 系 、 製造 系 の BPO や Web 制作 など を 請け負う 。 BPO で は 営業 事務 支援 や SE 支援 業務 、 調達 支援 業務 など を 
24,住友電設株式会社,IT,training,架空 送電 線 設備 や 地中 送電 設備 、 変電 設備 といった 設備 や 配電 線 設備 など の 電力 工事 、 一般 電気 工事 、 情報 通信 工事 、 プラント ・ 空調 工事 といった 設備 工事 を 行う 。 また 、 それら の 工事 に 関連 する エンジニアリング サービス や 機器 の 販売 など を 手掛け 
25,株式会社ＯＫＩソフトウェア,IT,training,情報 システム や ネットワーク の 構築 、 保守 及び 機器 組 込 ソフト の 開発 を 行う 。 また 取扱 製品 として 、 顧客 管理 システム 「 enjoy . CRM 」 や 応対 管 
26,明治安田システム・テクノロジー株式会社,IT,training,保険 会社 向け の 医療 査定 支援 システム で ある 「 医療 査定 な び 」 や 、 先進 医療 情報 照会 システム で ある 「 先進 医療 な び 」 の 開発 ・ 販売 を 行う 。 また 、 介護 総合 情報 サイト 「 MY 介護 の 広場 
27,株式会社インテックソリューションパワー,IT,training,情報 戦略 や 業務 改革 および セキュリティ 強化 など に関する IT コンサルティング を 手掛ける 。 また 、 流通 や 金融 、 製造 など の 業界 で シ 
28,株式会社ＮＴＴデータ・ビジネス・システムズ,IT,training,業務 や システム 、 経営 戦略 に関する コンサルティング を 行っ て いる 会社 。 また 、 営業 管理 や 顧客 管理 など 各種 基幹 業務 システム の 開 
29,ＮＴＴコムソリューションズ株式会社,IT,training,NTT コミュニケーションズグループ に 属し 、 企業 向け に ICT ソリューション を 提供 する 会社 で ある 。 また 、 クラ ウド 環境 の 設計 から 運用 、 ネットワークソリュ 
30,株式会社菱友システムズ,IT,training,生産 管理 システム や 製品 ライフサイクル 管理 関連 システム の 開発 、 サーバー および ネットワーク ならびに 周辺 機器 システム の 保守 ・ 運用 ・ 監視 を 手掛ける 。 また 、 航空機 や ロケット など の 空力 ・ 構造 解析 など を 行う 解析 ソリューションサービス の 提供 に も 取り組む 。 その他 、 画像 認識 や 音声 認識 および 自然 言語 処理 など を 行う AI 搭載 シ 
31,キャル株式会社,IT,training,官公庁 や 一般 企業 を 対象 と し た 受託 システム 開発 や 、 電気 回路 の 設計 など を 手掛ける 。 官公庁 向け システム の 実績 に 、 土木 工事 積算 システム や 防災 情報 管理 システム など が 
32,株式会社ＪＳＯＬ,IT,training,医薬 業界 や 食品 業界 および 自動車 業界 など を 対象 に 、 基幹 システム の 導入 から 業務 効率 化 ・ コスト 削減 に関する ソリューション まで を 提供 し て いる 。 ま 
33,株式会社あとらす二十一,IT,training,主 に Web 制作 や インターネット 広告 事業 を 行う 。 ゲーム 会社 や 旅行 会社 、 化粧 品 メーカー 、 出版 社 など を 
34,株式会社フォーカスシステムズ,IT,training,官公庁 や 地方自治体 など の 公共 機関 向け に 、 社会 保険 システム や 航空 管制 システム など の 公共 関連 システム の 開発 を 手がける 。 また 、 情報 通信 機器 メーカー や SIer など の 民間 企業 向け に 、 通信 制御 システム や 端末 組 込 型 システム の 受託 開発 を 行う 。 その他 、 ハードウェア ・ ネットワーク 
35,株式会社ケアリッツ・アンド・パートナーズ,IT,training,身体 介護 と 生活 援助 を 行う 訪問 介護 サービス や デイサービス 運営 、 福祉 器具 の 販売 ・ レンタル など を 行っ て いる 。 また 、 Web 開発 、 金 
36,株式会社ヴィンクス,IT,training,主 に 、 情報 関連 サービス 事業 を 手掛け 、 アウトソーシング 分野 ・ ソリューション 分野 ・ プロダクト 分野 の 3 分野 を 有する 。 アウトソーシング 分野 で は 、 販売 管理 等 の 基幹 システム ・ クレジットカード システム ・ 会計 システム 等 の 業務 システム の 運用 管理 に 加え 、 業務 システム の ソフトウエア に関する 保守 について 、 アウトソ 
37,エヌ・ティ・ティ・システム開発株式会社,IT,training,発注 管理 や 売上 管理 など の システム の 開発 や 構築 を 行う 。 また 、 在庫 管理 や 経営 管理 、 Web システム など も 取り扱っ て いる 。 さらに 、 通 
38,ピットクルー株式会社,IT,training,ネット ビジネス における 広告 審査 支援 や ネット 調査 、 投稿 監視 など の サービス を 行っ て いる 。 また 、 製品 や サービス に対する カスタマーサポート を 
39,アイテック阪急阪神株式会社,IT,training,社会 システム に 関連 する システム の 開発 および 販売 を 主 に 行っ て おり 、 鉄道 の 運行 管理 システム や ビル の マネジメント システム 、 電子 カルテ など の 製品 を 取り扱っ て いる 。 
40,ＮＣＳ＆Ａ株式会社,IT,training,「 確定 申告 受付 支援 システム 」 「 住民 情報 システム 」 「 電子 カルテ システム 」 「 販売 管理 システム 」 など の 医療 ・ 金融 業 ・ 製造 業 ・ サービス 業 向け の IT ソリューション の 開発 および 販売 を 行う 。 また 、 コンピュータ 機器 の 保守 を 行う ハード ウエア 保守 サービス や 企業 の コンピュータシス 
41,ＪＢＣＣ株式会社,IT,training,企業 の 情報 システム 設計 ・ 構築 から 運用 ・ 保守 まで を 手掛ける 他 、 「 俺 の クラ ウド 」 と 総称 さ れる クラ ウド 環境 の 提供 を 行う 。 また 
42,デジタル・インフォメーション・テクノロジー株式会社,IT,training,2015 年 に JASDAQ 、 2016 年 に 東証 2 部 に 上場 を 果たし た DIT だ が 、 大きな 事業 は ビジネスソリューション 事業 と 組 込 ソフトウェア 開発 の ２つ 。 ビジネスソリューション 事業 で は 、 金融 系 の 企業 を 中心 として 通信 ・ 流通 ・ 運輸 など の 分野 向け に 、 営業 から 事務 、 EC サイト から 社内 システム まで と 、 幅広い 業務 や 用途 の システム を クライアント に 合わせ て 開発 ・ 構築 から 保守 ・ 運用 まで を 行う 。 組 込 ソフトウェア 開発 で 
43,ＥＭＣジャパン株式会社,IT,training,情報 の 保存 や 管理 、 保護 を 行う Dell EMC の ディスク アレイ 装置 や ストレージ 管理 ソフトウェア の 販売 ・ 保守 を 手掛け て い 
44,サイバーコム株式会社,IT,training,無線 通信 システム を はじめ と し た 通信 ソフトウェア や 、 公共 交通 機関 運賃 精算 システム など の 制御 ソフトウェア 、 電子 カルテ システム といった 業務 ソフトウェア の 開発 を 行う ソフトウェア 開発 事業 を 手掛ける 。 また 、 ネットワーク 設計 ・ 構築 ・ 導入 や ク 
45,株式会社ソルコム,IT,training,光ファイバー ケーブル を 地中 に 埋め込む 等 の 電気 通信 工事 や 設計 、 施工 および 保守 を 行う 。 また 企業 ビル 内 の 電気 通信 機器 と 情報処理 
46,株式会社システムリサーチ,IT,training,子会社 の 株式会社 ソエル と共に 、 クレジット 決済 や 電子 マネー 決済 の 可能 な POS 管理 システム および 、 高度 な FA 制御 技術 開発 用 の 総合 開発 環境 など といった 専門 的 な 分野 も 含め た 、 システム 開発 ・ 構築 サービス の 提供 を 手掛ける 。 また 、 常駐 型 を 中心 と し た ソフトウェア 開発 の 請負 や 派遣 も 行う 。 さらに 、 販売 管理 や 給与 計算 など の ソフトウェア プロダクト の 作成 および 販売 、 保守 、 ハード 
47,株式会社ＮＴＴデータＭＨＩシステムズ,IT,training,三菱重工 グループ の グループ 会社 として 、 グループ 向け 業務 系 アプリケーション の 企画 や 開発 および 運用 を 行う 。 製品 情報 管理 システム や 経営 資源 管理 シス 
48,日本事務器株式会社,IT,training,医療 機関 や 自治体 、 製造 業 、 流通 業 など に対し 、 システム の 開発 を 請け負う 。 また 、 ハードウェア 、 OS や DBMS など の プラットフォーム ソフト や ネット ワ 
49,株式会社ＣＩＪ,IT,training,システム の 開発 ・ 販売 ・ 運用 ・ 保守 を 行う 。 主 に 、 OS や データベース 、 アプリケーション サーバ 、 運用 管理 ソフト 、 Web システム など を 取り扱っ て おり 、 金融 機関 向け 信販 （ クレジット ） 業務 システム や 製紙 会社 基幹 業務 システム （ CASET → COBOL ） 等 の 製造 業 向け システム など を 手掛ける 。 また 、 社会 福祉 協議 会 向け 総合 システム 「 SWING 」 、 自治体 向 
50,株式会社ＤＮＰデジタルソリューションズ,IT,training,情報 システム 運用 に関する コンサルティング 事業 を 手掛ける 。 また 、 Web サイト の 企画 や 制作 、 運営 
51,株式会社クエスト,IT,training,情報 システム に関する コンサルティング や 業務 システム の 開発 、 保守 および IT インフラ の 構築 、 運用 管理 など 情報 サービス に関する 一貫 し た 業務 を 手掛ける 。 また 、 IT コンサルティング 業務 として 、 IT 戦略 の 立案 から 運用 まで IT 投資 の 効率 を 最大 化 さ せる 「 IT Value - Up サービス 」 など を 行う 。 加え て 、 アプリケ 
52,東芝ＩＴコントロールシステム株式会社,IT,training,バーチャルパワープラント など の 広域 分散 蓄電 システム を 構築 する ため の リチウム イオン 蓄電 システム など を 製造 し て いる 。 また 、 スキャンモード 
53,株式会社ＪＩＥＣ,IT,training,ダイレクトバンキングシステム や 、 損害 サービス システム といった 金融 ・ 保険 分野 における システム 開発 および 導入 を 手掛ける 。 また 、 旅行 ・ 運輸 分野 の 座席 予約 シ 
54,エリクソン・ジャパン株式会社,IT,training,主 に 電気 通信 機器 や その 周辺 機器 における 研究 開発 や 標準 化 活動 を 行う 。 また 、 通信 機器 の 設計 や 製造 、 販売 および 設置 
55,サンワコムシスエンジニアリング株式会社,IT,training,電話 通信 回線 の 敷設 や 交換 設備 、 無線 中継 基地 局 の 建設 など 、 通信 インフラ における 基盤 整備 業務 を 行う 。 また 、 ネットワーク や システム における インテグレーション サービス の 提 
56,ソレキア株式会社,IT,training,ASIC 開発 や 半導体 製品 および コンポーネント デバイス 、 ネットワーク ・ ストレージ 機器 の 販売 を 手掛ける 。 また 、 官公庁 や 地方自治体 、 農協 および 生 協 、 金融 ならびに 医療 など の 業種 や 業態 に 対応 する 、 ERP 、 BCP 、 環境 ・ 省エネ 分野 など の ソリューション の 提供 も 行う 。 さらに 、 クラウドコンピューティング 、 スマート フォン や タ 
57,富士通九州ネットワークテクノロジーズ株式会社,IT,training,｢ Next Stream Topology Visualizer ｣ や ｢ QmOS ｣ など の ハードウェア や ソフトウ 
58,株式会社インフォメーションクリエーティブ,IT,training,ソフトウェア 開発 、 オペレーション 作業 および 運用 管理 、 ネットワーク の 構築 など を 行う 。 また 、 チケット 管理 システム 「 チケット for Windows 」 「 チケット for LINE Hybrid 」 、 チケット Web 販売 シス 
59,株式会社日本プレースメントセンター,IT,training,IT 分野 の アウトソーシングサービス 事業 を 行っ て おり 、 システム 開発 から 運用 ・ 保守 まで 請け負う 。 その他 に も ネットワーク の 設計 や 導 
60,株式会社ＮＨＫテクノロジーズ,IT,training,放送 ネットワーク の 企画 や コンサルティング 、 調査 や システム 設計 、 施工 や 管理 、 運用 および 保守 を 行う 。 放送 受信 環境 の 整備 や 情報 通信 ネット ワ 
61,株式会社共栄システムズ,IT,training,業務 用 統合 システム や クレジット システム の 開発 を 手掛ける 。 また 、 クラ ウド 環境 で の サーバー 構築 や 
62,株式会社ツリーベル,IT,training,製造 業 向け 統合 管理 システム や 医療 システム 、 制御 システム 及び 金融 機関 向け システム の 設計 ・ 開発 等 を 行っ て い 
63,大興電子通信株式会社,IT,training,主 に 富士通 株式会社 の 情報 通信 機器 の 販売 や 設計 、 施工 ならびに 保守 を 行い 、 OA 機器 や 電子 計算 機 、 電子 通信 設備 など を 取り扱う 。 また 、 電子 計算 機 の 販売 仲介 も 手掛ける 。 さらに 、 システム 開発 を 行っ て おり 、 子会社 で ある 株式会社 大和 ソフトウェア リサーチ に システム の 開発 や 運用 管理 の 一部 を 、 株式会社 アイデス に システム 開発 および アウトソーシング 事業 の 一部 を 委託 する 。 提供 する システム に は 、 生産 管理 システム ・ 流通 業 向け ソリューション・ ERP など が ある 
64,進々堂商光株式会社,IT,training,複合 機 や FAX 等 の OA 機器 の 販売 および 保守 サービス を 提供 し て いる 。 また 、 インターネット 関連 機器 や パソコン 周辺 機器 など の オ 
65,ＡＧＳ株式会社,IT,training,大型 汎用 機 を 中心 と し た 受託 計算 サービス や IDC サービス 及び クラウドサービス 、 BPO サービス など を 提供 し て いる 。 子会社 の AGS ビジネス コンピューター 株式会社 や AGS プロ サービス 株式会社 も 同様 の 事業 を 展開 し て いる 。 また 、 金融 機関 や 公共 団体 および 一般 法人 など に対し 、 情報 戦略 策定 支援 など の システム コンサルティング や アプリケーション ・ ソフト の 受託 開発 および ネ 
66,ＧＭＯインターネット株式会社,IT,training,インターネット インフラ や 、 ネット 証券 、 広告 など 様々 な インターネット 事業 を 展開 する IT 企業 で ある 。 ダイヤル Q 2 プロバイダ から 出発 し 、 近年 で は ネット インフラ や 広告 、 ゲーム 、 証券 など の インターネット 事業 を 幅広く 手掛け て いる 。 ネット インフラ 事業 において は 多く の サービス が 日本 国内 1 位 と なっ て いる 。 2005 年 ごろ に 証券 、 銀行 事業 に 参入 しよ う と し た ところ 巨額 赤字 を 計上 し て しまい 08 年 に 撤退 し た が 、 インターネット 事業 に 注力 する こと で 再建 を 進め 、 1 
67,株式会社ＰＵＣ,IT,training,水道 料金 徴収 業務 など の 事務 処理 の 代行 や コール センター の 運営 を 請け負う 。 その他 、 情報 システム サービス の 開発 や ネットワーク 運用 管理 サービス の 構 
68,富士通関西中部ネットテック株式会社,IT,training,キャリア ・ 官公庁 ・ 企業 と 携帯 端末 ・ LTE 端末 に 向け て ソフトウェア と ハードウェア の 開発 を 行う 会社 で ある 。 また 官公庁 ・ 企業 
69,北陸電話工事株式会社,IT,training,通信 ケーブル や FTTH 化 工事 など 通信 回線 関連 の 施工 を 行う 。 ビル 内 や 電柱 間 の 施工 以外 に 、 通信 や 電力 配線 等 の 地中 化 工事 
70,ＣＬＩＮＫＳ株式会社,IT,training,スマホ 向け アプリ の 開発 支援 や IT インフラ の 構築 といった ソリューションサービス を 提供 する 。 また 、 Web サイト の 制作 か 
71,株式会社エヌ・ティ・ティ・データＣＣＳ,IT,training,JXTG エネルギー 株式会社 および JX 金属 株式会社 の 業務 用 システム の 開発 ・ 保守 ・ 運用 に 取り組む 。 また 、 一般 企業 向け に IT インフラ の 導入 支援 や 構築 や 、 スマホアプリ 開発 および 地理 情報 
72,ＯＫＩクロステック株式会社,IT,training,IOT 技術 によって 、 電気 設備 や 情報処理 の ソフトウェア の 製造 や 販売 を 行う 。 LED 照明 設備 へ の 転換 工事 や 、 クラ ウド 型 電話 システム を 利用 し た 音声 ネットワークイ 
73,株式会社アベールジャパン,IT,training,一般 ビジネス アプリケーション や 制御 系 ソフトウェア の 設計 および 開発 、 ネットワーク 構築 など を 行っ て いる 。 また 、 空調 シス 
74,株式会社日興商会,IT,training,事務 用品 から 生活 用品 や 家具 まで 、 オフィス に 特 化 し た 製品 を 販売 し て いる 。 また 、 ソフトウェア 提案 や ネットワーク 構築 ・ 保守 など 各種 IT ソリューション に 対応 
75,バリストライドグループ株式会社,IT,training,Web アプリ 開発 や インフラ 、 ネットワーク 構築 など の IT ソリューション 事業 や IT コンサルティング 事業 を 手掛ける 。 また 、 We 
76,株式会社ピーエスシー,IT,training,Web サイト や モバイル サイト など の 構築 や 運用 を 行う 。 また 、 情報 管理 システム の 開発 や SEO 対策 、 パブリッククラウド の 構築 に も 対応 。 その他 、 ネット ワ 
77,アルテリア・ネットワークス株式会社,IT,training,中小 企業 向け 光 インターネット 接続 サービス 「 UCOM 光 エンタープライズ 」 「 ARTERIA 光 インターネット 接続 サービス 」 や 、 法人 向け IP 電話 サービス 「 光 電話 ビジネス 」 など を 提供 する 。 また 、 「 ダイナイーサ 」 を はじめ と し た 2 地点 間 を 結ぶ 専用 回線 サービス や 、 仮想 通信 トンネル で 構成 し た VPN 接続 サービス など を 手掛ける 。 加え て 、 データ センター サービス や 、 無線 LAN 環境 の 構築 および 運 
78,日興システムソリューションズ株式会社,IT,training,証券 会社 向け システム として オンライントレーディングシステム や 基幹 業務 システム の 連携 基盤 など を 開発 する 。 また 、 投信 口座 管理 シス 
79,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,IT,training,IoT や クラ ウド 基盤 および データ センター の 運用 など の IT サービス を 行っ て いる 。 また 、 ネットワーク や セキュリティ の 構築 、 及び モバ 
80,三菱ケミカルシステム株式会社,IT,training,主 に 、 グループ 内 企業 に対し IT コンサルティング や システム 開発 、 運用 から 改善 まで トータル な IT サービス を 提供 し て 
81,中央コンピューター株式会社,IT,training,幅広い 企業 情報 システム の コーディネート から 開発 ・ 管理 ・ 保守 を 主 に 行う 。 システム の 企画 、 分析 、 設計 、 プログラミング 、 テスト といった アプリケーション 開発 で は 、 システム の 運用 から メンテナンス まで 一環 し て 行う 。 先 を 見据え た 業務 システム の 設計 ・ 構築 を 提案 す 
82,日本自動化開発株式会社,IT,training,金融 ・ 保険 業界 を 中心 として 、 信販 ・ 通信 ・ 物流 業界 など の システム 受託 業務 を 行う 。 特徴 として は 担当 社員 を クライアント 企業 に 常駐 さ せ 、 設計 から 
83,シネックスジャパン株式会社,IT,training,IT と 流通 ネットワーク を 駆使 し た サービス で ビジネス を 支援 する 専門 商社 。 様々 な ハードウェア ・ ソフトウェア の 商品 を 
84,ベース株式会社,IT,training,金融 及び 流通 、 物流 業界 を 中心 と し た システム 並びに インフラ の 開発 を 手掛ける 会社 で ある 。 また 、 ERP 
85,株式会社システムエグゼ,IT,training,保険 会社 や 会計 事務所 、 製造 業 の 生産 管理 及び 医療 に 関連 する システム の 開発 を 行う 。 また 、 IT インフラ の 構築 や デー 
86,株式会社ＣＩＪネクスト,IT,training,官公庁 向け の 公共 系 システム や 金融 系 システム 、 地理 ・ 宇宙 関連 システム など の 開発 を 行っ て いる 。 また 、 交通 信号 制御 機 や 車両 感知 器 
87,日本コンピュータ・ダイナミクス株式会社,IT,training,主 に IT 事業 と パーキング 事業 の 2 つ を 行っ て おり 、 IT 事業 で は 、 iOS や Android アプリ の 開発 や 、 コード を 自動 生成 する ツール による アプリケーション の 提供 等 を 行う システム 構築 ソリューション の 提案 を 手掛ける 。 また 、 IBM クラ ウド 導入 支援 や マネージドサービスセンター の 運営 を 行い 、 IT インフラ に関する 運 
88,株式会社キューブシステム,IT,training,金融 業 や 通信 業 、 官公庁 向け に システム の ユーザーインターフェイス 設計 ・ 環境 設計 ・ 基本 設計 ・ プログラミング・システムテスト など を 行う 。 また 、 業務 アプリケーション の 管理 や システム の 運用 管理 、 オフショアエンハンス など に も 取り組む 。 さらに 、 システム 移行 
89,株式会社SYSKEN,IT,training,電話 サービス や 光 ブロード バンド 、 モバイル ネットワーク 等 の 設備 構築 を 行う 。 また 、 通信 設備 ・ 通信 ケーブルネットワーク 設備 工事 など の ほか 、 
90,ニッコーテクノ株式会社,IT,training,原子力 発電 施設 の 配管 など の 設計 や 試運転 、 保守 など の エンジニアリング を 手掛け て いる 。 その他 、 官公庁 ・ 民間 企業 の ソフトウェア の 開発 や ネ 
91,富士フイルムソフトウエア株式会社,IT,training,主 に 、 富士フイルム グループ の 製品 や サービス における ソフトウエア 開発 を 行なっ て いる 会社 。 また 、 IT インフラ サービス も 手掛ける 。 その ほか に も 、 フォト プリント 
92,インターネットウェア株式会社,IT,training,銀行 営業 店 端末 ならびに ATM 、 生産 計画 システム や 在庫 管理 システム 、 窓口 ナビゲーションシステム 及び 大学 用 シラバスシステム 等 の 開発 を 手掛ける 。 また 、 電気 通信 設備 工事 や サー 
93,株式会社ディックソリューションエンジニアリング,IT,training,官公庁 や 一般 企業 に対して ネットワーク システム の 構築 や 導入 支援 、 メンテナンス を 手掛け て いる 。 また 、 工場 の モータ 
